Icon Names ,Tags,Paths
1_Add.png,Add,1_Add.png
2_Align-Center.png,Align-Center,2_Align-Center.png
3_Align-Left.png,Align-Left,3_Align-Left.png
4_Align-RIght.png,Align-RIght,4_Align-RIght.png
5_Arrow-Back.png,Arrow-Back,5_Arrow-Back.png
6_Arrow-Down-04.png,Arrow-Down-04,6_Arrow-Down-04.png
7_Arrow-Down-88.png,Arrow-Down-88,7_Arrow-Down-88.png
8_Arrow-Forward.png,Arrow-Forward,8_Arrow-Forward.png
9_Arrow-Left.png,Arrow-Left,9_Arrow-Left.png
10_Arrow-RIght.png,Arrow-RIght,10_Arrow-RIght.png
11_Arrow-Up.png,Arrow-Up,11_Arrow-Up.png
12_Attachment.png,Attachment,12_Attachment.png
13_BackWard.png,BackWard,13_BackWard.png
14_Bar-Chart.png,Bar-Chart,14_Bar-Chart.png
15_Battery.png,Battery,15_Battery.png
16_Bookmark.png,Bookmark,16_Bookmark.png
17_Box-Product.png,Box-Product,17_Box-Product.png
18_Brightness.png,Brightness,18_Brightness.png
19_Calculater.png,Calculater,19_Calculater.png
20_Calender-Date.png,Calender-Date,20_Calender-Date.png
21_Camera.png,Camera,21_Camera.png
22_Cart.png,Cart,22_Cart.png
23_Checked.png,Checked,23_Checked.png
24_Cloud.png,Cloud,24_Cloud.png
25_Comment-Message.png,Comment-Message,25_Comment-Message.png
26_Dark-Mode.png,Dark-Mode,26_Dark-Mode.png
27_Delete-Trash.png,Delete-Trash,27_Delete-Trash.png
28_Desktop.png,Desktop,28_Desktop.png
29_Disk.png,Disk,29_Disk.png
30_Download.png,Download,30_Download.png
31_Downward.png,Downward,31_Downward.png
32_Duplicate-Copy.png,Duplicate-Copy,32_Duplicate-Copy.png
33_Edit.png,Edit,33_Edit.png
34_Error-Negative.png,Error-Negative,34_Error-Negative.png
35_Expand-Maximize.png,Expand-Maximize,35_Expand-Maximize.png
36_Female.png,Female,36_Female.png
37_File-Document.png,File-Document,37_File-Document.png
38_Folder.png,Folder,38_Folder.png
39_Forward.png,Forward,39_Forward.png
40_Gird.png,Gird,40_Gird.png
41_Grid-Column.png,Grid-Column,41_Grid-Column.png
42_Grid-Row.png,Grid-Row,42_Grid-Row.png
43_Head-Phone.png,Head-Phone,43_Head-Phone.png
44_Help.png,Help,44_Help.png
45_Home.png,Home,45_Home.png
46_Information.png,Information,46_Information.png
47_InProgress.png,InProgress,47_InProgress.png
48_Justify-Center.png,Justify-Center,48_Justify-Center.png
49_Light-Mode.png,Light-Mode,49_Light-Mode.png
50_Link.png,Link,50_Link.png
51_Location.png,Location,51_Location.png
52_Locked.png,Locked,52_Locked.png
53_Love-Like.png,Love-Like,53_Love-Like.png
54_Magnet.png,Magnet,54_Magnet.png
55_Mail-Message.png,Mail-Message,55_Mail-Message.png
56_Male.png,Male,56_Male.png
57_Menu.png,Menu,57_Menu.png
58_Mic.png,Mic,58_Mic.png
59_Minimize.png,Minimize,59_Minimize.png
60_Minus.png,Minus,60_Minus.png
61_Mobile.png,Mobile,61_Mobile.png
62_More-Horizontal.png,More-Horizontal,62_More-Horizontal.png
63_More-Vertical.png,More-Vertical,63_More-Vertical.png
64_Mute.png,Mute,64_Mute.png
65_Navigation.png,Navigation,65_Navigation.png
66_Notification.png,Notification,66_Notification.png
67_Pause.png,Pause,67_Pause.png
68_People.png,People,68_People.png
69_Play.png,Play,69_Play.png
70_Raining.png,Raining,70_Raining.png
71_Redo.png,Redo,71_Redo.png
72_Refresh.png,Refresh,72_Refresh.png
73_Restricted.png,Restricted,73_Restricted.png
74_Save.png,Save,74_Save.png
75_Scanner.png,Scanner,75_Scanner.png
76_Scissor-Cut.png,Scissor-Cut,76_Scissor-Cut.png
77_Search.png,Search,77_Search.png
78_Settings.png,Settings,78_Settings.png
79_Share.png,Share,79_Share.png
80_Star.png,Star,80_Star.png
81_Stop.png,Stop,81_Stop.png
82_Success-Positive.png,Success-Positive,82_Success-Positive.png
83_Suffle.png,Suffle,83_Suffle.png
84_Tablet.png,Tablet,84_Tablet.png
85_TIles.png,TIles,85_TIles.png
86_Toggle-Off.png,Toggle-Off,86_Toggle-Off.png
87_Toggle-on.png,Toggle-on,87_Toggle-on.png
88_Trend-Down.png,Trend-Down,88_Trend-Down.png
89_Trend-Up.png,Trend-Up,89_Trend-Up.png
90_Unchecked.png,Unchecked,90_Unchecked.png
91_Undo.png,Undo,91_Undo.png
92_Unlocked.png,Unlocked,92_Unlocked.png
93_Upload.png,Upload,93_Upload.png
94_Upward.png,Upward,94_Upward.png
95_User-Profile.png,User-Profile,95_User-Profile.png
96_Video.png,Video,96_Video.png
97_Volume-Full.png,Volume-Full,97_Volume-Full.png
98_Volume-Low.png,Volume-Low,98_Volume-Low.png
99_Warning.png,Warning,99_Warning.png
100_Wifi.png,Wifi,100_Wifi.png
101_Zoom-in.png,Zoom-in,101_Zoom-in.png
102_Zoom-Out.png,Zoom-Out,102_Zoom-Out.png